Name,Build PDF Folder,Completed,Delivery Date,Urgency
SANKATY,https://drive.google.com/drive/folders/16-L8BJIWDoO1WNIB2W8YcZtJzBwGma9m?usp=share_link,No,"December 26, 2025",
CODFISH PARK,https://drive.google.com/drive/folders/16AXVy2voi7n-EhSTJUUBnakG38GmaVA9?usp=share_link,No,"January 30, 2026",
BOB JOB,,No,"December 18, 2025",
5 FIELDS,https://drive.google.com/drive/folders/1Yky7LLkxl9ozHlUzmsEXcagiCIJi7YpF?usp=share_link,No,,
Dickman ENT Center,https://drive.google.com/drive/folders/1XBBUBpnL0GBSN-QOR4bS4iOzkVjuPfFV?usp=share_link,Yes,"January 2, 2026",
34 Hummock,https://drive.google.com/drive/folders/1QtFTWdRx0EWcQsUbZkH5iuT8nWvE1Mac?usp=share_link,No,"January 9, 2026",URGENT
67 Surfside,https://drive.google.com/drive/folders/1S6pkiDqfF9hj-5dkdDWRn2MpwgqnXnw5?usp=share_link,Yes,"December 26, 2025",URGENT
[0569] 9 Austin Farm,,No,"February 3, 2026",
[0570] Warrens Landing,,No,,
